,form,league.id,league.name,league.season,team.id,team.name,fixtures.played.total,fixtures.wins.total,fixtures.draws.total,fixtures.loses.total,goals.for.total.total,biggest.streak.wins,biggest.streak.loses,Pontos
48,WWWDWWWWWWW,78,Bundesliga,2023,168,Bayer Leverkusen,11,10,1,0,34,3,0,31
40,WWWDWDWWWWW,78,Bundesliga,2023,157,Bayern Munich,11,9,2,0,42,3,0,29
51,WLWWWWWWLLW,78,Bundesliga,2023,172,VfB Stuttgart,11,8,0,3,29,6,2,24
52,LWWWWDDWWLW,78,Bundesliga,2023,173,RB Leipzig,11,7,2,2,28,4,1,23
46,WDDWWWWWDLL,78,Bundesliga,2023,165,Borussia Dortmund,11,6,3,2,21,5,0,21
47,LWWWWLWLWLD,78,Bundesliga,2023,167,1899 Hoffenheim,11,6,1,4,23,4,1,19
49,WDDDDLWWDWD,78,Bundesliga,2023,169,Eintracht Frankfurt,11,4,6,1,17,2,1,18
41,WWLLDWLWLDL,78,Bundesliga,2023,160,SC Freiburg,11,4,2,5,14,2,2,14
44,DLLDLWDLWDW,78,Bundesliga,2023,163,Borussia Monchengladbach,11,3,4,4,23,1,2,13
50,DLDLWLLWWDD,78,Bundesliga,2023,170,FC Augsburg,11,3,4,4,20,2,2,13
42,WWLWLWLLLDL,78,Bundesliga,2023,161,VfL Wolfsburg,11,4,1,6,15,2,3,13
43,LLWLWLLLWDD,78,Bundesliga,2023,162,Werder Bremen,11,3,2,6,18,1,3,11
54,LLDWLWLLLWL,78,Bundesliga,2023,180,FC Heidenheim,11,3,1,7,17,1,3,10
53,LDDDLLDLDWD,78,Bundesliga,2023,176,VfL BOCHUM,11,1,6,4,11,1,2,9
55,LLLDLWWLLLD,78,Bundesliga,2023,181,SV Darmstadt 98,11,2,2,7,14,2,3,8
45,LDLLLLDLDWD,78,Bundesliga,2023,164,FSV Mainz 05,11,1,4,6,11,1,4,7
56,WWLLLLLLLLL,78,Bundesliga,2023,182,Union Berlin,11,2,0,9,11,2,0,6
57,LLDLLLLWLDD,78,Bundesliga,2023,192,FC Koln,11,1,3,7,9,1,4,6
